dt,country,terrorism_insurgency,war_military_conflict,regional_disintegration,financial_sanctions,trade_disputes,cyber_warfare,energy_resource_conflicts,global_governance,nuclear_proliferation,territorial_disputes,other,TOTAL
01/02/2005,DE,0.17921147,0.836320191,0.238948626,0.17921147,0.776583035,0,0.716845878,0.298685783,0,0,0.418160096,3.643966547
01/03/2005,DE,0.112170499,0.673022995,0.504767246,0.05608525,0.616937745,0,0.953449243,0.841278744,0.112170499,0.224340998,0.729108245,4.823331464
01/04/2005,DE,0.357653791,0.500715308,0,0.286123033,1.359084406,0,1.430615165,0.429184549,0.071530758,0.071530758,0.429184549,4.935622318
01/05/2005,DE,0.103519669,0.414078675,0.103519669,0.103519669,1.449275362,0,0.517598344,0.724637681,0.103519669,0,0.82815735,4.347826087
01/06/2005,DE,0.063613232,0.763358779,0.763358779,0.254452926,1.399491094,0.063613232,1.590330789,0.636132316,0.127226463,0,0.381679389,6.043256997
01/07/2005,DE,0.73322053,0.564015792,0.169204738,0.056401579,0.620417372,0,1.128031585,0.282007896,0.056401579,0,1.128031585,4.737732657
01/08/2005,DE,0.17921147,0.537634409,0,0.059737157,1.433691756,0,1.851851852,0.238948626,0.298685783,0,0.597371565,5.197132616
01/09/2005,DE,0.181598063,0.302663438,0.060532688,0,1.02905569,0,2.663438257,0.302663438,0.060532688,0.060532688,1.02905569,5.690072639
01/10/2005,DE,0.112676056,0.450704225,0,0.056338028,0.732394366,0,0.563380282,0.450704225,0.112676056,0,0.788732394,3.267605634
01/11/2005,DE,0.054347826,0.217391304,0.054347826,0.054347826,1.304347826,0,0.97826087,0.706521739,0.163043478,0.054347826,0.815217391,4.402173913
01/12/2005,DE,0.104438642,0.156657963,0.313315927,0.052219321,0.939947781,0,1.82767624,1.044386423,0,0,0.417754569,4.856396867
01/01/2006,DE,0,0.161899622,0.215866163,0.107933081,0.431732326,0.053966541,3.885590934,0.323799244,0.269832704,0.053966541,0.539665407,6.044252563
01/02/2006,DE,0.302419355,0.100806452,0.201612903,0.201612903,0.806451613,0,1.5625,0.252016129,0.100806452,0,0.252016129,3.780241935
01/03/2006,DE,0.144040331,0.288080663,0.036010083,0,0.468131077,0,1.944544472,0.360100828,0.216060497,0,0.25207058,3.709038531
01/04/2006,DE,0.037147103,0.074294205,0.037147103,0.037147103,0.668647845,0.037147103,2.563150074,0.29717682,0.59435364,0.037147103,0.260029718,4.643387816
01/05/2006,DE,0.192901235,0.192901235,0,0.038580247,0.578703704,0,1.427469136,0.154320988,0.077160494,0.038580247,0.424382716,3.125
01/06/2006,DE,0.183891136,0.147112909,0.073556455,0.073556455,0.514895182,0,1.103346819,0.220669364,0.183891136,0.110334682,0.367782273,2.97903641
01/07/2006,DE,0,0.456140351,0,0.035087719,0.49122807,0,2.245614035,0.070175439,0.245614035,0,0.350877193,3.894736842
01/08/2006,DE,0.329067642,0.255941499,0,0.146252285,0.438756856,0,0.621572212,0.036563071,0,0.036563071,0.29250457,2.157221207
01/09/2006,DE,0.198098257,0.237717908,0,0.198098257,0.515055468,0,0.713153724,0.396196513,0.158478605,0,0.277337559,2.694136292
01/10/2006,DE,0.103555402,0.414221609,0,0.069036935,0.483258543,0,1.035554021,0.310666206,0.207110804,0.034518467,0.345184674,3.003106662
01/11/2006,DE,0.136239782,0.136239782,0.068119891,0.034059946,0.374659401,0,0.98773842,0.102179837,0.170299728,0.034059946,0.374659401,2.418256131
01/12/2006,DE,0.074682599,0.261389096,0.074682599,0.074682599,0.448095594,0,1.194921583,0.074682599,0.112023898,0.074682599,0.410754294,2.800597461
01/01/2007,DE,0.106837607,0.213675214,0.071225071,0.213675214,0.747863248,0,2.528490028,0.249287749,0.035612536,0,0.462962963,4.62962963
01/02/2007,DE,0.073475386,0.293901543,0.036737693,0.183688464,0.624540779,0,0.844966936,0.183688464,0.036737693,0,0.146950771,2.42468773
01/03/2007,DE,0.031979533,0.255836265,0.063959066,0,0.351774864,0,0.767508794,0.159897665,0.031979533,0.095938599,0.255836265,2.014710585
01/04/2007,DE,0.083507307,0.041753653,0,0.208768267,0.542797495,0.041753653,0.960334029,0.208768267,0.041753653,0,0.375782881,2.505219207
01/05/2007,DE,0.121703854,0.121703854,0.040567951,0.162271805,0.527383367,0.040567951,0.60851927,0.730223124,0.081135903,0,0.486815416,2.920892495
01/06/2007,DE,0.114678899,0.152905199,0,0.344036697,0.458715596,0.0382263,0.649847095,0.496941896,0.0382263,0.0382263,0.191131498,2.52293578
01/07/2007,DE,0.231570822,0.115785411,0.077190274,0.231570822,0.501736781,0,0.540331918,0.154380548,0.38595137,0.038595137,0.38595137,2.663064454
01/08/2007,DE,0.07204611,0.216138329,0.036023055,0.396253602,0.360230548,0,0.468299712,0.252161383,0.144092219,0.036023055,0.252161383,2.233429395
01/09/2007,DE,0.037355248,0.186776242,0,0.074710497,0.298841987,0,1.270078446,0.186776242,0.112065745,0.037355248,0.261486739,2.465446395
01/10/2007,DE,0.241046832,0.103305785,0,0.275482094,0.585399449,0.034435262,0.654269972,0.241046832,0.068870523,0.034435262,0.41322314,2.651515152
